index,transaction,internalid
1,OSF-BRSP NFS-e-3504,3140924
2,OSF-BRSP NFS-e-3503,3155039
3,OSF-BRSP NFS-e-3500,3135240
4,OSF-BRSP NFS-e-3501,3149503
5,OSF-BRSP NFS-e-3502,3152023
6,OSF-BRSP NFS-e-01,3135236
7,OSF-BRSP NFS-e-3505,3142777
8,OSF-BRSP NFS-e-3506,3142775
9,OSF-BRSP NFS-e-3498,3138137
10,OSF-BRSP NFS-e-3499,3138139
11,OSF-BRSP NFS-e-3497,3138231
12,OSF-BRSP NFS-e-3507,3135340
13,OSF-BRSP NFS-e-3508,3135241
14,OSF-BRSP NFS-e-3509,3135242
15,OSF-BRSP NFS-e-3510,3147414
16,OSF-BRSP NFS-e-3478,3135337
17,OSF-BRSP NFS-e-3511,3147639
18,OSF-BRF NFS-e-5651,3172072
19,OSF-BRSP NFS-e-3484,3138140
20,OSF-BRF NFS-e-5665,3176514
21,OSF-BRF NFS-e-5650,3156911
22,OSF-BRSP NFS-e-3512,3157136
23,OSF-BRF NFS-e-5658,3177057
24,OSF-BRF NFS-e-5659,3177365
25,OSF-BRF NFS-e-5660,3177157
26,OSF-BRF NFS-e-5664,3171978
27,OSF-BRF NFS-e-5662,3174726
28,OSF-BRSP NFS-e-08,3179143
29,OSF-BRSP NFS-e-3521,3227917
30,OSF-BRSP NFS-e-3515,3227915
31,OSF-BRSP NFS-e-3475,3147640
32,OSF-BRSP NFS-e-3522,3229182
33,OSF-BRSP NFS-e-3483,3149502
34,OSF-BRF NFS-e-5669,3230184
35,OSF-BRF NFS-e-5654,3171979
36,OSF-BRF NFS-e-5656,3177158
37,OSF-BRSP NFS-e-04,3135243
38,OSF-BRSP NFS-e-03,3135341
39,OSF-BRSP NFS-e-12,3228016
40,OSF-BRSP NFS-e-13,3240781
41,OSF-BRSP NFS-e-14,3235915
42,OSF-BRSP NFS-e-15,3235916
43,OSF-BRSP NFS-e-16,3231640
44,OSF-BRSP NFS-e-3476,3147540
45,OSF-BRSP NFS-e-3527,3230189
